Category,ThemeWord,ImagePath,Description,Question,Answer
Animals,elephant,,A big gray elephant with large ears and long tusks is walking on the grass. There are some small white birds near its feet.,"1. What can you see in the picture?
2. What color is the elephant?
3. How many legs does the elephant have?
4. What is the elephant doing?
5. Where does the elephant live, in the forest or in the water?
6. What does the elephant eat, grass or fish?
7. What is near the elephant's feet?","1. I can see an elephant in the picture.
2. The elephant is gray.
3. The elephant has four legs.
4. The elephant is walking on the grass.
5. The elephant lives in the forest.
6. The elephant eats grass.
7. Some small white birds are near the elephant's feet."
Animals,goat,,A white goat with long horns is standing on the grass. It has four legs and is looking to the side.,"1. What can you see in the picture?
2. What color is the goat?
3. How many legs does the goat have?
4. What is the goat doing?
5. Where does the goat live?
6. What does the goat eat, grass or bread?
7. Does the goat have long horns?","1. I can see a goat in the picture.
2. The goat is white.
3. The goat has four legs.
4. The goat is standing on the grass.
5. The goat lives on a farm.
6. The goat eats grass.
7. Yes, the goat has long horns."
Animals,alligator,,An alligator with many teeth is resting. It is black and gray. Two orange butterflies are sitting on its head.,"1. What can you see in the picture?
2. What color is the alligator?
3. How many legs does the alligator have?
4. What is the alligator doing?
5. Where does the alligator live, in the water or on the land?
6. What does the alligator eat, fish or grass?
7. How many butterflies are on the alligator's head?","1. I can see an alligator in the picture.
2. The alligator is black and gray.
3. The alligator has four legs.
4. The alligator is resting.
5. The alligator lives in the water.
6. The alligator eats fish.
7. There are two butterflies on the alligator's head."
Animals,bear,,A big brown bear is standing in the snow. It has four legs and a big body.,"1. What can you see in the picture?
2. What color is the bear?
3. How many legs does the bear have?
4. What is the bear doing?
5. Where does the bear live, in the snow or in the desert?
6. What does the bear eat, fish or bread?
7. How does the bear move?","1. I can see a bear in the picture.
2. The bear is brown.
3. The bear has four legs.
4. The bear is standing.
5. The bear lives in the snow.
6. The bear eats fish.
7. The bear walks and runs."
Animals,horse,,Two gray horses with four legs and strong bodies are running on the ground. They are making dust fly up around them.,"1. What can you see in the picture?
2. What color is the horse?
3. How many legs does the horse have?
4. What is the horse doing?
5. Where does the horse live, on a farm or in the forest?
6. What does the horse eat, grass or bread?
7. How does the horse move?","1. I can see a horse in the picture.
2. The horse is gray.
3. The horse has four legs.
4. The horse is running.
5. The horse lives on a farm.
6. The horse eats grass.
7. The horse runs and walks."
Animals,camel,,A brown camel with two humps is standing. It has four legs.,"1. What can you see in the picture?
2. What color is the camel?
3. How many legs does the camel have?
4. What does the camel have on its back?
5. Where does the camel live, in the desert or in the forest?
6. What does the camel eat, grass or bread?
7. What can the camel do?","1. I can see a camel in the picture.
2. The camel is brown.
3. The camel has four legs.
4. The camel has two humps.
5. The camel lives in the desert.
6. The camel eats grass.
7. The camel can walk in the sand."
Animals,crab,,This is a gray crab. It has eight legs and two big claws. The crab is standing on a white surface.,"1. What can you see in the picture?
2. What color is the crab?
3. How many legs does the crab have?
4. What does the crab have on its body?
5. Where is the crab standing?
6. What does the crab eat, fish or grass?
7. Where does the crab live, in the water or on the land?","1. I can see a crab in the picture.
2. The crab is gray.
3. The crab has eight legs.
4. The crab has two big claws.
5. The crab is standing on a white surface.
6. The crab eats fish.
7. The crab lives in the water."
Animals,cow,,A big black and white cow is feeding a small black and white cow in the green grass.,"1. What can you see in the picture?
2. What color is the cow?
3. How many legs does the cow have?
4. What is the cow doing?
5. Where does the cow live, on a farm or in the forest?
6. What does the cow eat, grass or bread?
7. How does the cow move?","1. I can see a cow in the picture.
2. The cow is black and white.
3. The cow has four legs.
4. The cow is feeding the baby cow.
5. The cow lives on a farm.
6. The cow eats grass.
7. The cow walks and eats."
Animals,duck,,A brown and white duck is standing on the grass. It has two legs and a big body.,"1. What can you see in the picture?
2. What color is the duck?
3. How many legs does the duck have?
4. What is the duck doing?
5. Where does the duck live, in the water or in the forest?
6. What does the duck eat, bread or fish?
7. How does the duck move?","1. I can see a duck in the picture.
2. The duck is brown and white.
3. The duck has two legs.
4. The duck is standing on the grass.
5. The duck lives in the water.
6. The duck eats bread.
7. The duck walks and swims."
Animals,eagle,,An eagle with large wings is flying over the water and catching a fish. It has a yellow beak and legs. The eagle is brown and white.,"1. What can you see in the picture?
2. What color is the eagle?
3. How many legs does the eagle have?
4. What is the eagle doing?
5. Where is the eagle flying, over the water or over the trees?
6. What does the eagle eat, fish or bread?
7. What color is the eagle's beak?","1. I can see an eagle in the picture.
2. The eagle is brown and white.
3. The eagle has two legs.
4. The eagle is flying and catching a fish.
5. The eagle is flying over the water.
6. The eagle eats fish.
7. The eagle's beak is yellow."
Animals,fish,,"Three colorful fish are swimming in the water. They have flat, round shapes with two fins and one tail. The fish are orange, blue, and white with red and blue patterns.","1. What can you see in the picture?
2. What color are the fish?
3. How many fish are there?
4. What are the fish doing?
5. Where do the fish live, in the water or on the land?
6. What do the fish eat, bread or worms?
7. How many legs do the fish have?","1. I can see fish in the picture.
2. The fish are orange, blue, and white.
3. There are three fish.
4. The fish are swimming.
5. The fish live in the water.
6. The fish eat worms.
7. The fish have no legs."
Animals,frog,,A green frog with big eyes and four legs is sitting on a leaf.,"1. What can you see in the picture?
2. What color is the frog?
3. How many legs does the frog have?
4. What is the frog doing?
5. Where does the frog live, in the water or in the tree?
6. What does the frog eat, flies or bread?
7. Can the frog jump?","1. I can see a frog in the picture.
2. The frog is green.
3. The frog has four legs.
4. The frog is sitting on a leaf.
5. The frog lives in the water.
6. The frog eats flies.
7. Yes, the frog can jump."
Animals,giraffe,,Some giraffes are standing together. They have long necks and big eyes. They are brown and white.,"1. What can you see in the picture?
2. What color is the giraffe?
3. How many legs does the giraffe have?
4. What is the giraffe doing?
5. Where does the giraffe live, in the forest or in the zoo?
6. What does the giraffe eat, leaves or fish?
7. How does the giraffe move?","1. I can see a giraffe in the picture.
2. The giraffe is brown and white.
3. The giraffe has four legs.
4. The giraffe is standing.
5. The giraffe lives in the forest.
6. The giraffe eats leaves.
7. The giraffe walks and runs."
Animals,gorilla,,A big black gorilla with a brownish head is sitting among green plants. It has four legs and looks strong.,"1. What can you see in the picture?
2. What color is the gorilla?
3. How many legs does the gorilla have?
4. What is the gorilla doing?
5. Where does the gorilla live, in the forest or in the water?
6. What does the gorilla eat, leaves or fish?
7. Is the gorilla big or small?","1. I can see a gorilla in the picture.
2. The gorilla is black.
3. The gorilla has four legs.
4. The gorilla is sitting.
5. The gorilla lives in the forest.
6. The gorilla eats leaves.
7. The gorilla is big."
Animals,hippo,,A big gray hippo is sitting in the water with its mouth open. It has four legs and a big body.,"1. What can you see in the picture?
2. What color is the hippo?
3. How many legs does the hippo have?
4. What is the hippo doing?
5. Where does the hippo live, in the water or on the land?
6. What does the hippo eat, grass or fish?
7. Is the hippo big or small?","1. I can see a hippo in the picture.
2. The hippo is gray.
3. The hippo has four legs.
4. The hippo is sitting in the water.
5. The hippo lives in the water.
6. The hippo eats grass.
7. The hippo is big."
