Category,ThemeWord,ImagePath,Description,Question,Answer
Clothes,vest,,This is an orange vest with padding to keep you warm in winter. It has a zipper to open and close easily.,"1. What can you see in the picture?
2. What color is the vest?
3. When do people wear the vest?
4. What part of the body does the vest cover?
5. What does the vest have to open and close?
6. Is the vest for summer or winter?
7. Does the vest keep you warm or cool?","1. I can see a vest in the picture.
2. The vest is orange.
3. People wear the vest in winter.
4. The vest covers the body.
5. The vest has a zipper.
6. The vest is for winter.
7. The vest keeps you warm."
Clothes,watch,,This is a blue and yellow watch with a round face and a blue strap.,"1. What can you see in the picture?
2. What color is the watch?
3. Is the watch round or square?
4. What part of the body do you wear the watch on?
5. When do people wear a watch, in the day or at night?
6. What color is the strap of the watch, blue or red?
7. Is the watch big or small?","1. I can see a watch in the picture.
2. The watch is blue and yellow.
3. The watch is round.
4. You wear the watch on your wrist.
5. People wear a watch in the day.
6. The strap of the watch is blue.
7. The watch is small."
Clothes,belt,,This is a gray belt with a metal buckle. It has a rectangular shape and can be worn in any season.,"1. What can you see in the picture?
2. What color is the belt?
3. What shape is the belt?
4. When do people wear the belt, in summer or winter?
5. What part of the body does the belt cover?
6. What is on the belt, a buckle or a button?
7. Is the belt for clothes or for shoes?","1. I can see a belt in the picture.
2. The belt is gray.
3. The belt is rectangular.
4. People wear the belt in any season.
5. The belt covers the waist.
6. There is a buckle on the belt.
7. The belt is for clothes."
Clothes,boots,,These brown boots are made of leather and have a stitched pattern. They are good for fall and winter.,"1. What can you see in the picture?
2. What color are the boots?
3. When do people wear boots, in summer or winter?
4. What part of the body do boots cover?
5. Are boots made of leather or paper?
6. Do boots have a stitched pattern?
7. Are boots good for fall and winter?","1. I can see boots in the picture.
2. The boots are brown.
3. People wear boots in winter.
4. Boots cover the feet.
5. Boots are made of leather.
6. Yes, boots have a stitched pattern.
7. Yes, boots are good for fall and winter."
Clothes,cap,,"This maroon cap has a solid color and is adjustable, making it comfortable to wear in any season.","1. What can you see in the picture?
2. What color is the cap?
3. When do people wear a cap, in summer or winter?
4. What part of the body does the cap cover?
5. Is the cap adjustable, yes or no?
6. Is the cap comfortable to wear, yes or no?","1. I can see a cap in the picture.
2. The cap is maroon.
3. People wear a cap in summer and winter.
4. The cap covers the head.
5. Yes, the cap is adjustable.
6. Yes, the cap is comfortable to wear."
Clothes,coat,,This is a brown coat with a hood and toggle buttons. It is warm and suitable for winter.,"1. What can you see in the picture?
2. What color is the coat?
3. When do people wear the coat, in summer or winter?
4. What part of the body does the coat cover?
5. Does the coat have a hood, yes or no?
6. What are the buttons on the coat called, toggle or zipper?
7. Is the coat warm or cold?","1. I can see a coat in the picture.
2. The coat is brown.
3. People wear the coat in winter.
4. The coat covers the body.
5. Yes, the coat has a hood.
6. The buttons are called toggle.
7. The coat is warm."
Clothes,gloves,,These black leather gloves have a button to keep them snug and warm for winter wear.,"1. What can you see in the picture?
2. What color are the gloves?
3. When do people wear gloves, in summer or winter?
4. What part of the body do gloves cover?
5. What do gloves have to keep them snug?
6. Are the gloves made of leather or paper?
7. Do gloves keep your hands warm or cold?","1. I can see gloves in the picture.
2. The gloves are black.
3. People wear gloves in winter.
4. Gloves cover the hands.
5. Gloves have a button.
6. The gloves are made of leather.
7. Gloves keep your hands warm."
Clothes,handbag,,This is a brown leather handbag with two handles. It is made of leather and can be used in any season.,"1. What can you see in the picture?
2. What color is the handbag?
3. How many handles does the handbag have?
4. What is the handbag made of, leather or paper?
5. When can you use the handbag, in summer or in winter?
6. What part of the body does the handbag cover?
7. Is the handbag big or small?","1. I can see a handbag in the picture.
2. The handbag is brown.
3. The handbag has two handles.
4. The handbag is made of leather.
5. You can use the handbag in any season.
6. The handbag covers the hand.
7. The handbag is big."
Clothes,hat,,This is a blue woven hat with a black ribbon. It is perfect for summer.,"1. What can you see in the picture?
2. What color is the hat?
3. What is on the hat?
4. When do people wear this hat, in summer or winter?
5. What part of the body does the hat cover?
6. Is the hat for boys, girls, or both?
7. Can you wear the hat when it is sunny?","1. I can see a hat in the picture.
2. The hat is blue.
3. There is a black ribbon on the hat.
4. People wear this hat in summer.
5. The hat covers the head.
6. The hat is for both boys and girls.
7. Yes, you can wear the hat when it is sunny."
Clothes,jacket,,This is a brown leather jacket. It has two pockets on the front. It is good for autumn and winter.,"1. What can you see in the picture?
2. What color is the jacket?
3. How many pockets does the jacket have?
4. When do people wear the jacket, in summer or winter?
5. What part of the body does the jacket cover?
6. Is the jacket good for autumn or spring?
7. What is the jacket made of, leather or cotton?","1. I can see a jacket in the picture.
2. The jacket is brown.
3. The jacket has two pockets.
4. People wear the jacket in winter.
5. The jacket covers the body.
6. The jacket is good for autumn.
7. The jacket is made of leather."
